year,00,01,05,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90
2015,283,1261,1779,1847,1911,1879,1754,2166,2535,2751,2904,2583,2451,2295,1963,1872,1953,1553,683,194
2016,281,1194,1772,1830,1891,1814,1695,2031,2502,2705,2917,2572,2457,2314,1964,1906,1914,1567,707,210
2017,288,1170,1760,1840,1899,1788,1669,1920,2462,2688,2912,2594,2461,2340,1960,1983,1852,1585,730,229
2018,273,1163,1738,1844,1907,1771,1656,1804,2419,2665,2874,2644,2471,2358,1953,2065,1783,1598,752,243
2019,266,1155,1689,1866,1919,1783,1610,1732,2352,2657,2828,2699,2463,2399,1945,2134,1732,1612,772,260
2020,257,1146,1634,1901,1929,1804,1594,1691,2256,2643,2801,2749,2456,2435,1951,2177,1721,1613,787,276
2021,256,1107,1588,1905,1911,1806,1582,1662,2145,2633,2778,2778,2463,2450,1970,2181,1760,1593,808,293
2022,250,1035,1537,1863,1833,1686,1476,1571,1978,2553,2735,2751,2467,2436,1977,2155,1808,1532,819,309
2023,219,999,1490,1825,1817,1669,1452,1550,1844,2493,2699,2700,2499,2428,1977,2128,1853,1457,812,311
2024,214,936,1429,1734,1800,1630,1427,1475,1734,2377,2646,2611,2507,2376,1973,2072,1868,1389,808,321
2025,200,874,1356,1644,1810,1582,1349,1392,1640,2240,2605,2567,2536,2355,1990,2065,1893,1374,807,331
2026,200,845,1311,1596,1835,1616,1351,1364,1597,2116,2590,2543,2562,2364,2005,2091,1898,1409,794,342
2026,200,845,1311,1596,1835,1616,1351,1364,1597,2116,2590,2543,2562,2364,2005,2091,1898,1409,794,342
2027,197,812,1265,1565,1829,1661,1353,1336,1564,1994,2550,2535,2563,2392,2013,2122,1897,1464,769,353
2028,195,805,1209,1529,1809,1694,1369,1316,1546,1867,2506,2520,2535,2446,2028,2147,1896,1520,743,362
2029,193,795,1165,1496,1755,1738,1389,1312,1488,1784,2433,2518,2500,2503,2027,2190,1890,1568,725,370
