year,Infants_and_children,Young_adults,Middle_aged_adults,Mature_adults,Seniors
2015,7081,5799,10773,6709,6255
2016,6968,5540,10696,6735,6304
2017,6957,5377,10656,6761,6379
2018,6925,5231,10602,6782,6441
2019,6895,5125,10536,6807,6510
2020,6867,5089,10449,6842,6574
2021,6767,5050,10334,6883,6635
2022,6518,4733,10017,6880,6623
2023,6350,4671,9736,6904,6561
2024,6113,4532,9368,6856,6458
2025,5884,4323,9052,6881,6470
2026,5787,4331,8846,6931,6534
2027,5668,4350,8643,6968,6605
2028,5547,4379,8439,7009,6668
2029,5404,4439,8223,7030,6743
