landuse,area_m2,area_ha,coverage_%
323,65837511.7644547,6583.75,18.744
324,61275135.04872431,6127.51,17.445
212,53287371.99693457,5328.74,15.171
311,49740979.75225604,4974.1,14.162
321,46912961.739573054,4691.3,13.356
211,16218681.956316471,1621.87,4.618
112,12165072.841432352,1216.51,3.463
242,11145881.937818415,1114.59,3.173
243,9894837.393776858,989.48,2.817
523,4407361.151621384,440.74,1.255
121,4319775.89569978,431.98,1.23
231,4169529.09165176,416.95,1.187
122,3630789.8873970592,363.08,1.034
312,1812673.9781494015,181.27,0.516
111,1177157.5414172362,117.72,0.335
132,855637.9010998065,85.56,0.244
223,738604.4751506026,73.86,0.21
131,567627.3972529863,56.76,0.162
124,546120.3514511832,54.61,0.155
213,495456.8665500901,49.55,0.141
421,469385.2064664784,46.94,0.134
333,440090.3231003499,44.01,0.125
142,383805.9338501293,38.38,0.109
511,359918.5385219743,35.99,0.102
141,251380.91133701327,25.14,0.072
123,116327.00408898202,11.63,0.033
331,19394.842456330894,1.94,0.006
