,sum,max,heavy_precipitation
1970,790.0,5.6,0
1971,1257.0,9.6,2
1972,1132.0,8.1,0
1973,885.0,9.4,0
1974,954.0,11.8,1
1975,745.0,5.2,0
1976,889.0,5.1,0
1977,613.0,4.9,0
1978,861.0,13.0,1
1979,915.0,5.7,0
1980,886.0,5.5,0
1981,900.0,9.9,1
1982,835.0,6.5,2
1983,873.0,6.1,0
1984,787.0,5.1,0
1985,682.0,5.2,1
1986,647.0,4.6,0
1987,1087.0,5.5,0
1988,755.0,6.1,1
1989,643.0,5.3,0
1990,783.0,8.0,1
1991,728.0,5.0,0
1992,652.0,6.9,0
1993,618.0,5.3,0
1994,732.0,7.6,0
1995,812.0,5.9,0
1996,971.0,7.4,2
1997,819.0,5.0,1
1998,817.0,4.6,0
1999,803.0,5.0,0
2000,578.0,6.1,0
2001,647.0,5.7,0
2002,1068.0,4.5,2
2003,848.0,4.3,0
2004,936.0,7.3,1
2005,1032.0,6.4,1
2006,851.0,5.3,0
2007,874.0,10.3,3
2008,502.0,7.5,0
2009,1141.0,5.0,0
2010,971.0,7.5,0
2011,636.0,11.3,0
2012,825.0,7.2,1
2013,904.0,4.5,1
2014,1126.0,7.8,2
2015,1076.0,9.2,1
2016,733.0,5.1,0
2017,772.0,4.7,0
2018,800.0,6.4,0
2019,987.0,5.5,1
2020,849.0,8.8,0
2021,1125.0,7.1,1
2022,699.0,8.5,0
2023,760.0,5.5,0
2024,769.0,5.2,0
