fid,risk,CODE_5_18
1,15,11110
2,15,11110
3,15,11110
4,15,11110
5,15,11110
6,15,11110
7,15,11110
8,15,11110
12,15,11110
13,15,11110
14,15,11110
15,15,11110
16,15,11110
17,15,11110
21,15,11110
22,15,11110
23,15,11110
24,15,11110
25,15,11110
26,15,11110
30,15,11120
31,15,11110
32,15,11110
33,15,11110
34,15,11110
35,15,11110
36,15,11110
37,15,11110
38,15,11110
39,16,11110
40,16,11110
41,16,11110
42,15,11110
43,15,11110
44,15,11110
52,15,11120
53,15,11120
54,15,11110
55,15,11110
56,15,11110
57,15,11110
58,15,11110
59,15,11110
60,15,11110
61,16,11110
62,16,11110
63,16,11110
64,15,11110
65,15,11110
66,15,11110
74,15,11120
75,15,11120
76,15,11120
77,15,11110
78,15,11110
79,15,11110
80,15,11110
81,15,11110
82,15,11110
83,16,11110
84,16,11110
85,16,11110
86,15,11110
87,15,11110
88,15,11110
96,15,11110
97,15,11110
98,15,11110
99,16,11120
100,16,11120
101,16,11110
102,16,11110
103,16,11110
104,16,11110
105,16,11110
106,16,11110
107,16,11110
108,16,11110
109,16,11110
110,16,11110
111,15,11110
112,15,11110
113,15,11110
114,15,11110
146,15,11110
147,15,11110
148,15,11110
149,16,11110
150,16,11110
151,16,11110
152,16,11110
153,16,11110
154,16,11110
155,16,11110
156,16,11110
157,16,11110
158,16,11110
159,16,11110
160,16,11110
161,15,11110
162,15,11110
163,15,11110
164,15,11110
196,15,11110
197,15,11110
198,15,11110
199,16,11110
200,16,11110
201,16,11110
202,16,11110
203,16,11110
204,16,11110
205,16,11110
206,16,11110
207,16,11110
208,16,11110
209,16,11110
210,16,11110
211,15,11110
212,15,11110
213,15,11110
214,15,11110
246,16,11110
247,16,11110
248,16,11110
249,16,11110
250,16,11110
251,16,11110
252,16,11110
253,16,11110
254,16,11110
255,16,11110
256,16,11110
257,16,11110
258,16,11110
259,16,11110
260,16,11110
261,16,11110
262,16,11110
263,16,11110
264,16,11110
311,15,11110
312,16,11110
313,16,11110
314,16,11110
315,16,11110
316,16,11110
317,16,11110
318,16,11110
319,16,11110
320,17,11110
321,16,11110
322,16,11110
323,16,11110
324,16,11110
325,16,11110
326,16,11110
327,16,11110
328,16,11110
329,16,11110
330,16,11110
377,15,11110
378,15,11110
379,15,12100
380,15,11110
381,16,11110
382,16,11110
383,16,11110
384,16,11110
385,16,11110
386,16,11110
387,16,11110
388,16,11110
389,17,11110
390,16,11110
391,16,11110
392,16,11110
393,16,11110
394,16,11110
395,16,11110
396,16,11110
397,16,11110
398,16,11110
399,16,11110
446,15,11110
447,16,11110
448,16,11110
449,16,11110
450,16,11110
451,16,11110
452,15,11110
453,15,12100
454,15,11110
455,15,
456,15,
457,15,11110
458,16,11110
459,16,11110
460,16,11110
461,16,11110
462,16,11110
463,16,11110
464,16,11110
465,16,11110
466,16,11110
467,16,11110
468,16,11110
469,16,11110
470,16,11110
471,16,11110
472,16,11110
473,16,11110
474,16,11110
475,16,11110
476,16,11110
477,16,11110
478,16,11110
479,16,11110
480,16,11110
481,16,11110
482,16,11110
544,16,11110
545,16,11110
546,16,11110
547,16,11110
548,16,11110
549,15,11110
550,15,12100
551,15,12100
552,15,11110
553,15,11110
554,15,11110
555,15,11110
556,16,11110
557,16,11110
558,16,11110
559,16,11110
560,16,11110
561,16,11110
562,16,11110
563,16,11110
564,16,11110
565,16,11110
566,16,11110
567,16,11110
568,16,11110
569,16,11110
570,16,11110
571,16,11110
572,16,11110
573,16,11110
574,16,11110
575,16,11110
576,16,11110
577,16,11110
578,16,11110
579,16,11110
580,16,11110
642,15,11110
643,16,11110
644,16,11110
645,16,11110
646,16,11110
647,15,12100
648,15,11110
649,15,11110
650,15,11110
651,15,11110
652,15,11110
653,15,11110
654,16,11110
655,16,11110
656,16,11110
657,16,11110
658,16,11110
659,16,11110
660,16,11110
661,16,11110
662,16,11110
663,16,11110
664,16,11110
665,16,11110
666,16,11110
667,16,11110
668,16,11110
669,16,11110
670,16,11110
671,16,11110
672,16,11110
673,16,11110
674,16,11110
675,16,11110
676,16,11110
677,16,11110
678,16,11110
740,15,11110
741,15,11110
742,15,11110
743,16,11110
744,17,11110
745,17,11110
746,17,11110
747,16,11110
748,16,11110
749,16,11110
750,16,12100
751,16,11110
752,16,11110
753,16,11110
754,16,11110
755,16,11110
756,16,11110
757,16,11110
758,16,11110
759,16,11110
760,16,11110
761,16,11110
762,16,11110
763,16,11110
764,16,11110
765,16,11110
766,16,11110
767,16,11110
768,16,11110
769,16,11110
770,16,11110
771,16,11110
772,16,11110
773,16,11110
774,16,11110
775,16,11110
776,16,11110
777,16,11110
778,16,11110
779,16,11110
780,16,11110
781,16,11110
782,16,11110
783,16,11110
784,16,11110
785,16,11110
786,16,11110
787,16,11110
788,16,11110
789,16,11110
790,16,11110
791,16,11110
792,16,11110
793,16,11110
794,16,11110
795,16,11110
796,16,11110
797,16,11110
798,16,11110
864,15,11120
865,15,11110
866,15,11110
867,16,11110
868,16,11110
869,16,11110
870,16,11110
871,16,11110
872,16,11110
873,16,11110
874,16,11110
875,16,11110
876,16,12100
877,16,11110
878,16,11110
879,16,11110
880,16,11110
881,16,11110
882,16,11110
883,16,11110
884,16,11110
885,16,11110
886,16,11110
887,16,11110
888,16,11110
889,16,11110
890,16,11110
891,16,11110
892,16,11110
893,16,11110
894,16,11110
895,16,11110
896,16,11110
897,16,11110
898,16,11110
899,16,11110
900,16,11110
901,16,11110
902,16,11110
903,16,11110
904,16,11110
905,16,11110
906,16,11110
907,16,11110
908,16,11110
909,16,11110
910,16,11110
911,16,11110
912,16,11110
913,16,11110
914,16,11110
915,16,11110
916,16,11110
917,16,11110
918,16,11110
919,16,11110
920,16,11110
921,16,11110
922,16,11110
987,15,11120
988,15,11110
989,15,11110
990,16,11110
991,16,11110
992,16,11110
993,16,11110
994,16,11110
995,16,11110
996,16,11110
997,16,11110
998,16,11110
999,16,11110
1000,16,12100
1001,16,11110
1002,16,11110
1003,16,11110
1004,16,11110
1005,16,11110
1006,16,11110
1007,16,11110
1008,16,11110
1009,16,11110
1010,16,11110
1011,16,11110
1012,16,11110
1013,16,11120
1014,16,11110
1015,16,11110
1016,16,11110
1017,16,11110
1018,16,11110
1019,16,11110
1020,16,11110
1021,16,11110
1022,16,11110
1023,16,11110
1024,16,11110
1025,16,11110
1026,16,11110
1027,16,11110
1028,16,11110
1029,16,11110
1030,16,11110
1031,16,11110
1032,16,11110
1033,16,11110
1034,16,11110
1035,16,11110
1036,16,11110
1037,16,11110
1038,16,11110
1039,16,11110
1040,16,11110
1041,16,11110
1042,16,11110
1043,16,11110
1044,16,11110
1045,16,11110
1110,15,11110
1111,15,11110
1112,15,11120
1113,16,11120
1114,16,11120
1115,16,11110
1116,16,11110
1117,16,11110
1118,16,11110
1119,16,11110
1120,16,11110
1121,16,11110
1122,16,11110
1123,16,11110
1124,16,11110
1125,16,11110
1126,16,11110
1127,16,11110
1128,16,12100
1129,16,11110
1130,16,11110
1131,16,11110
1132,16,11110
1133,16,11110
1134,16,11110
1135,16,11110
1136,16,11110
1137,16,11110
1138,16,11120
1139,16,11120
1140,16,11120
1141,16,11110
1142,16,11110
1143,16,11110
1144,16,11110
1145,16,11110
1146,16,11110
1147,16,11110
1148,16,11110
1149,16,11110
1150,16,11110
1151,16,11110
1152,16,11110
1153,16,11110
1154,16,11110
1155,16,11110
1156,16,11110
1157,16,11110
1158,16,11110
1159,16,11110
1160,16,11110
1161,16,11110
1162,16,11110
1163,16,11110
1164,16,11110
1165,16,11110
1166,16,11110
1167,16,11110
1168,16,11110
1169,16,11110
1170,16,11110
1171,16,11110
1236,15,11110
1237,15,11110
1238,15,11110
1239,16,11120
1240,16,11120
1241,16,11110
1242,16,11110
1243,16,11110
1244,16,11110
1245,16,11110
1246,16,11110
1247,16,11110
1248,16,11110
1249,16,11110
1250,16,11110
1251,16,11110
1252,16,11110
1253,16,11110
1254,16,12100
1255,16,11110
1256,16,11110
1257,16,11110
1258,16,11110
1259,16,11110
1260,16,11110
1261,16,11110
1262,16,11110
1263,16,11110
1264,16,11110
1265,16,11120
1266,16,11120
1267,16,11120
1268,16,11110
1269,16,11110
1270,16,11110
1271,16,11110
1272,16,11110
1273,16,11110
1274,16,11110
1275,16,11110
1276,16,11110
1277,16,11110
1278,16,11110
1279,16,11110
1280,16,11110
1281,16,11110
1282,16,11110
1283,16,11110
1284,16,11110
1285,16,11110
1286,16,11110
1287,16,11110
1288,16,11110
1289,16,11110
1290,16,11110
1291,16,11110
1292,16,11110
1293,16,11110
1294,16,11110
1295,16,11110
1296,16,11110
1297,16,11110
1361,15,11110
1362,16,11110
1363,16,11110
1364,17,11110
1365,17,11110
1366,16,11110
1367,16,11110
1368,16,11110
1369,16,11110
1370,16,11110
1371,16,11110
1372,16,11110
1373,16,11110
1374,16,11110
1375,16,11110
1376,16,11110
1377,16,11110
1378,16,11110
1379,16,11110
1380,16,12100
1381,16,11110
1382,16,11110
1383,16,11110
1384,16,11110
1385,16,11110
1386,16,11110
1387,16,11110
1388,16,11110
1389,16,11110
1390,16,11110
1391,16,11120
1392,16,11120
1393,16,11120
1394,16,11110
1395,16,11110
1396,16,11110
1397,16,11110
1398,16,11110
1399,16,11110
1400,16,11110
1401,16,11110
1402,16,11110
1403,16,11110
1404,16,11110
1405,16,11110
1406,16,11110
1407,16,11110
1408,16,11110
1409,16,11110
1410,16,11110
1411,16,11110
1412,16,11110
1413,16,11110
1414,16,11110
1415,16,11110
1416,16,11110
1417,16,11110
1418,16,11110
1419,16,11110
1420,16,11110
1421,16,11110
1422,16,11110
1486,16,11110
1487,17,11110
1488,17,11110
1489,17,11110
1490,17,11110
1491,16,11110
1492,16,11110
1493,16,11110
1494,16,11110
1495,16,11110
1496,16,11110
1497,16,11110
1498,16,11110
1499,16,11110
1500,16,11110
1501,16,11110
1502,16,11110
1503,16,11110
1504,16,11110
1505,16,11110
1506,16,11110
1507,16,11110
1508,16,11110
1509,16,11110
1510,16,11110
1511,16,12100
1512,16,11110
1513,16,11110
1514,16,11110
1515,16,11110
1516,16,11120
1517,16,11120
1518,16,11120
1519,16,11110
1520,16,11110
1521,16,11110
1522,16,11110
1523,16,11110
1524,16,11110
1525,16,11110
1526,16,11110
1527,16,11110
1528,16,11110
1529,16,11110
1530,16,11110
1531,16,11110
1532,16,11110
1533,16,11110
1534,16,11110
1535,16,11110
1536,16,11110
1537,16,11110
1538,16,11110
1539,16,11110
1540,16,11110
1541,16,11110
1542,16,11110
1543,16,11110
1544,15,11110
1545,15,11110
1546,15,11110
1547,15,11110
1587,16,11110
1588,17,11110
1589,17,11110
1590,17,11110
1591,17,11110
1592,16,11110
1593,16,11110
1594,16,11110
1595,16,11110
1596,16,11110
1597,16,11110
1598,16,11110
1599,16,11110
1600,16,11110
1601,16,11110
1602,16,11110
1603,16,11110
1604,16,11110
1605,16,11110
1606,16,11110
1607,16,11110
1608,16,11110
1609,16,11110
1610,16,11110
1611,16,11110
1612,16,11110
1613,16,11110
1614,16,11110
1615,16,11110
1616,16,11110
1617,16,11110
1618,16,11110
1619,16,11110
1620,16,11110
1621,16,11110
1622,16,11110
1623,16,11110
1624,16,11110
1625,16,11110
1626,16,11110
1627,16,11110
1628,16,11110
1629,16,11110
1630,16,11110
1631,16,11110
1632,16,11110
1633,16,11110
1634,16,11110
1635,16,11110
1636,16,11110
1637,16,11110
1638,16,11110
1639,16,11110
1640,16,11110
1641,16,11110
1642,16,11110
1643,16,11110
1644,16,11110
1645,15,11110
1646,15,11110
1647,15,11110
1648,15,11110
1687,16,11110
1688,16,11110
1689,16,11110
1690,16,11110
1691,16,11110
1692,16,11110
1693,16,11110
1694,16,11110
1695,16,11110
1696,16,11110
1697,16,11110
1698,16,11110
1699,16,11110
