fid,risk,CODE_5_18
9,15,11110
10,15,11110
11,15,11110
18,15,11110
19,15,11110
20,15,11110
27,15,11110
28,15,11110
29,15,11110
45,15,11110
46,15,11110
47,15,12100
48,15,11210
49,15,11210
50,15,11210
51,15,11210
67,15,11110
68,15,12100
69,15,11110
70,15,11110
71,15,11210
72,15,11110
73,15,11110
89,15,12100
90,15,11110
91,15,11110
92,15,11110
93,15,11110
94,15,11110
95,15,11110
115,15,11110
116,15,11110
117,15,11110
118,16,11110
119,16,11110
120,16,11110
121,16,11110
122,16,11110
123,16,11110
124,16,11110
125,16,11110
126,16,11110
127,15,11110
128,15,11110
129,15,11110
130,15,11110
131,15,11110
132,15,11110
133,15,11110
134,15,11110
135,15,11110
136,15,11110
137,15,11110
138,15,11110
139,15,11110
140,15,11110
141,15,11110
142,15,11120
143,16,11120
144,16,11120
145,16,11120
165,15,11110
166,15,11110
167,15,11110
168,16,11110
169,16,11110
170,16,11110
171,16,11110
172,16,11110
173,16,11110
174,16,11110
175,16,11110
176,16,11110
177,15,11110
178,15,11110
179,15,11110
180,15,11110
181,15,11110
182,15,11110
183,15,11110
184,15,11110
185,15,11110
186,15,11110
187,15,11110
188,15,11110
189,15,11110
190,15,11110
191,15,11110
192,15,11110
193,16,11110
194,16,11110
195,16,11120
215,15,11110
216,15,11110
217,15,11110
218,16,11110
219,16,11110
220,16,11110
221,16,11110
222,16,11110
223,16,11110
224,16,11110
225,16,11110
226,16,11110
227,15,11110
228,15,11110
229,15,11110
230,15,11110
231,15,11110
232,15,11110
233,15,11110
234,15,11110
235,15,11110
236,15,11110
237,15,11110
238,15,11110
239,15,11110
240,15,11110
241,15,11110
242,15,11110
243,16,11110
244,16,11110
245,16,11110
265,16,11110
266,16,11110
267,16,11110
268,16,11110
269,16,11110
270,16,11110
271,16,11110
272,16,11110
273,16,11110
274,16,11110
275,16,11110
276,16,11110
277,16,11110
278,16,11110
279,16,11110
280,15,11110
281,15,11110
282,15,11110
283,15,11110
284,15,11110
285,15,11110
286,15,11110
287,15,11110
288,15,11110
289,16,11110
290,16,11110
291,16,11110
292,16,11110
293,16,11110
294,16,11110
295,16,11110
296,16,11110
297,16,11110
298,16,11110
299,16,11110
300,16,11110
301,16,11110
302,16,11110
303,16,11110
304,16,11110
305,16,11110
306,16,11110
307,16,11110
308,16,11110
309,16,11110
310,16,11110
331,16,11110
332,16,11110
333,16,11110
334,16,11110
335,16,11110
336,16,11110
337,16,11110
338,16,11110
339,16,11110
340,16,11110
341,16,11110
342,16,11110
343,16,11110
344,16,11110
345,16,11110
346,15,11110
347,15,11110
348,15,11110
349,15,11110
350,15,11110
351,15,11110
352,15,11110
353,15,11110
354,15,11110
355,16,11110
356,16,11110
357,16,11110
358,16,11110
359,16,11110
360,16,11110
361,16,11110
362,16,11110
363,16,11110
364,16,11110
365,16,11110
366,16,11110
367,16,11110
368,16,11110
369,16,11110
370,16,11110
371,16,11110
372,16,11110
373,16,11110
374,16,11110
375,16,11110
376,16,11110
400,16,11110
401,16,11110
402,16,11110
403,16,11110
404,16,11110
405,16,11110
406,16,11110
407,16,11110
408,16,11110
409,16,11110
410,16,11110
411,16,11110
412,16,11110
413,16,11110
414,16,11110
415,15,11110
416,15,11110
417,15,11110
418,15,11110
419,15,11110
420,15,11110
421,15,11110
422,15,11110
423,15,11110
424,16,11110
425,16,11110
426,16,11110
427,16,11110
428,16,11110
429,16,11110
430,16,11110
431,16,11110
432,16,11110
433,16,11110
434,16,11110
435,16,11110
436,16,11110
437,16,11110
438,16,11110
439,16,11110
440,16,11110
441,16,11110
442,16,11110
443,16,11110
444,16,11110
445,16,11110
483,16,11110
484,16,11110
485,16,11110
486,16,11110
487,16,11110
488,16,11110
489,16,11110
490,16,11110
491,16,11110
492,16,11110
493,16,11110
494,16,11110
495,16,11110
496,16,11110
497,16,11110
498,16,11110
499,16,11110
500,16,11110
501,15,11110
502,15,11110
503,15,11110
504,15,11110
505,15,11110
506,15,11110
507,16,11110
508,16,11110
509,16,11110
510,16,11110
511,16,11110
512,16,11110
513,16,11110
514,16,11110
515,16,11110
516,16,11110
517,16,11110
518,16,11110
519,16,11110
520,16,11110
521,16,11110
522,16,11110
523,16,11110
524,16,11110
525,16,11110
526,16,11110
527,16,11110
528,16,11110
529,16,11110
530,16,11110
531,16,11110
532,16,11110
533,16,11110
534,16,11110
535,16,11110
536,16,11110
537,16,11110
538,16,11110
539,16,11110
540,16,11110
541,15,11110
542,15,11110
543,15,11110
581,16,11110
582,16,11110
583,16,11110
584,16,11110
585,16,11110
586,16,11110
587,16,11110
588,16,11110
589,16,11110
590,16,11110
591,16,11110
592,16,11110
593,16,11110
594,16,11110
595,16,11110
596,16,11110
597,16,11110
598,16,11110
599,15,11110
600,15,11110
601,15,11110
602,15,11110
603,15,11110
604,15,11110
605,16,11110
606,16,11110
607,16,11110
608,16,11110
609,16,11110
610,16,11110
611,16,11110
612,16,11110
613,16,11110
614,16,11110
615,16,11110
616,16,11110
617,16,11110
618,16,11110
619,16,11110
620,16,11110
621,16,11110
622,16,11110
623,16,11110
624,16,11110
625,16,11110
626,16,11110
627,16,11110
628,16,11110
629,16,11110
630,16,11110
631,16,11110
632,16,11110
633,16,11110
634,16,11110
635,16,11110
636,16,11110
637,16,11110
638,16,11110
639,15,11110
640,15,11110
641,15,11110
679,16,11110
680,16,11110
681,16,11110
682,16,11110
683,16,11110
684,16,11110
685,16,11110
686,16,11110
687,16,11110
688,16,11110
689,16,11110
690,16,11110
691,16,11110
692,16,11110
693,16,11110
694,16,11110
695,16,11110
696,16,11110
697,15,11110
698,15,11110
699,15,11110
700,15,11110
701,15,11110
702,15,11110
703,16,11110
704,16,11110
705,16,11110
706,16,11110
707,16,11110
708,16,11110
709,16,11110
710,16,11110
711,16,11110
712,16,11110
713,16,11110
714,16,11110
715,16,11110
716,16,11110
717,16,11110
718,16,11110
719,16,11110
720,16,11110
721,16,11110
722,16,11110
723,16,11110
724,16,11110
725,16,11110
726,16,11110
727,16,11110
728,16,11110
729,16,11110
730,16,11110
731,16,11110
732,16,11110
733,16,11110
734,16,11110
735,16,11110
736,16,11110
737,15,11110
738,15,11110
739,15,11110
799,16,11110
800,16,11110
801,16,11110
802,16,11110
803,16,11110
804,16,11110
805,16,11110
806,16,11110
807,16,11110
808,16,11110
809,16,11110
810,16,11110
811,16,11110
812,16,11110
813,16,11110
814,16,11110
815,16,11110
816,16,11110
817,16,11110
818,16,11110
819,16,11110
820,16,11110
821,16,11110
822,16,11110
823,16,11110
824,16,11110
825,16,11110
826,16,11110
827,16,11110
828,16,11110
829,16,11110
830,16,11110
831,16,11110
832,16,11110
833,16,11110
834,16,11110
835,16,11110
836,16,11110
837,16,11110
838,16,11110
839,15,11210
840,15,11210
841,15,11110
842,15,11110
843,15,11110
844,15,11110
845,16,11110
846,16,11110
847,16,11110
848,16,11110
849,16,11110
850,16,11110
851,16,11110
852,16,11110
853,16,11110
854,16,11110
855,16,11110
856,16,11110
857,15,11110
858,15,11110
859,15,11110
860,15,11110
861,15,11110
862,15,11110
863,15,11110
923,16,11110
924,16,11110
925,16,11210
926,16,11210
927,16,11110
928,16,11110
929,16,11110
930,16,11110
931,16,11110
932,16,11110
933,16,11110
934,16,11110
935,16,11110
936,16,11110
937,16,11110
938,16,11110
939,16,11110
940,16,11110
941,16,11110
942,16,11110
943,16,11110
944,16,11110
945,16,11110
946,16,11110
947,16,11110
948,16,11110
949,16,11110
950,16,11110
951,16,11110
952,16,11110
953,16,11110
954,16,11110
955,16,11110
956,16,11110
957,16,11110
958,16,11110
959,16,11110
960,16,11110
961,16,11110
962,16,11110
963,15,11210
964,15,11210
965,15,11210
966,15,11210
967,15,11210
968,15,11110
969,16,11110
970,16,11110
971,16,11110
972,16,11110
973,16,11110
974,16,11110
975,16,11110
976,16,11110
977,16,11110
978,16,11110
979,16,11110
980,16,11110
981,15,11110
982,15,11110
983,15,11110
984,15,11110
985,15,11110
986,15,11110
1046,16,11110
1047,16,11210
1048,16,11210
1049,16,11210
1050,16,11210
1051,16,11110
1052,16,11110
1053,16,11110
1054,16,11110
1055,16,11110
1056,16,11110
1057,16,11110
1058,16,11110
1059,16,11110
1060,16,11110
1061,16,11110
1062,16,11110
1063,16,11110
1064,16,11110
1065,16,11110
1066,16,11110
1067,16,11110
1068,16,11110
1069,16,11110
1070,16,11110
1071,16,11110
1072,16,11110
1073,16,11110
1074,16,11110
1075,16,11110
1076,16,11110
1077,16,11110
1078,16,11110
1079,16,11110
1080,16,11110
1081,16,11110
1082,16,11110
1083,16,11110
1084,16,11110
1085,16,11210
1086,15,11210
1087,15,11210
1088,15,11110
1089,15,11110
1090,15,11110
1091,15,11110
1092,16,11110
1093,16,11110
1094,16,11110
1095,16,11110
1096,16,11110
1097,16,11110
1098,16,11110
1099,16,11110
1100,16,11110
1101,16,11110
1102,16,11110
1103,16,11110
1104,15,11110
1105,15,11110
1106,15,11110
1107,15,11110
1108,15,11110
1109,15,11110
1172,15,11210
1173,15,11210
1174,15,11210
1175,15,11210
1176,15,11210
1177,15,11210
1178,15,11110
1179,15,11110
1180,15,11110
1181,16,11110
1182,16,11110
1183,16,11110
1184,16,11110
1185,16,11110
1186,16,11110
1187,16,11110
1188,16,11110
1189,16,11110
1190,16,11110
1191,16,11110
1192,16,11110
1193,15,11110
