fid,risk,CODE_5_18
2234,16,11110
2235,16,11110
2236,16,11110
2237,15,11110
2238,15,11110
2239,15,11110
2240,15,11110
2241,15,11110
2242,15,11120
2243,15,11120
2244,15,11120
2245,15,11120
2246,15,11110
2247,16,11110
2248,16,11110
2249,16,11110
2250,15,11110
2251,15,11110
2252,15,11120
2253,15,11120
2254,15,11110
2255,15,11110
2256,15,11120
2257,15,11120
2258,15,11120
2259,15,11110
2260,16,11110
2261,16,11110
2262,16,11110
2263,15,11110
2264,15,14000
2265,15,11120
2266,15,11120
2267,15,11120
2268,15,11110
2269,15,11120
2270,15,11120
2271,15,11120
2272,15,11110
2273,15,11110
2274,15,11110
2275,15,11110
2276,15,11110
2277,15,11110
2278,15,11110
2279,16,11120
2280,16,11120
2281,16,11120
2282,15,11120
2283,15,11120
2284,15,11120
2285,15,11110
2286,15,11110
2287,15,11110
2288,15,11110
2289,15,11110
2290,15,11110
2291,16,14000
2292,16,11110
2293,16,11110
2294,15,11120
2295,15,11120
2296,15,11120
2297,15,11110
2298,15,11110
2299,15,11110
2300,15,11110
2301,15,11110
2302,15,11110
2303,16,11110
2304,16,11110
2305,16,11110
2306,15,11110
2307,15,11120
2308,15,11120
2309,15,11110
2310,15,11110
2311,16,11110
2312,15,11110
2313,16,11210
2314,16,11210
2315,16,11110
2316,15,11110
2317,15,11210
2318,16,11210
2319,16,11210
2320,16,11110
2321,15,11110
2322,15,11110
2323,16,11210
2324,16,11210
2325,16,11210
2326,16,11210
2327,15,11110
2328,15,11110
2329,15,11110
2330,15,11110
2331,15,11110
2332,15,11110
2333,15,11110
2334,16,11110
2335,16,11110
2336,15,11110
2337,15,11110
2338,15,11110
2339,15,11110
2340,16,11110
2341,16,11110
2342,15,11110
2343,15,11110
2344,15,11110
2345,15,11110
2346,15,11110
2347,16,11110
2348,15,11110
2349,15,11110
2350,15,11110
2351,15,11110
2352,15,11110
2353,16,11110
2354,15,11110
2355,15,11110
2356,15,11110
2357,15,11110
2358,15,11110
2359,16,11110
2360,15,11110
2361,15,11110
2362,15,11110
2363,15,11110
2364,15,11110
2365,15,11110
2366,15,11110
2367,15,11110
2368,15,11110
2369,15,11110
2370,15,11110
2371,15,11110
2372,15,11110
2373,15,11110
2374,15,11110
2375,15,11110
2376,15,14000
2377,15,11110
2378,15,11110
2379,15,14000
2380,15,14000
2381,15,11110
2382,15,11110
2383,15,11110
2384,15,11120
2385,15,11120
2386,15,11120
2387,15,11120
2388,15,11120
2389,15,11120
2390,15,11120
2391,15,11110
2392,15,14000
2393,15,11110
2394,15,11110
2395,15,11110
2396,15,11110
2397,15,11120
2398,15,11120
2399,15,11120
2400,15,11120
2401,15,11120
2402,15,11110
2403,15,11110
2404,15,11110
2405,15,11110
2406,15,11110
2407,15,11110
2408,15,11120
2409,15,11120
2410,15,11120
2411,15,11120
2412,15,11120
2413,15,11110
2414,15,53000
2415,15,53000
2416,15,53000
2417,15,53000
2418,15,11120
2419,15,11110
2420,15,11110
2421,15,11110
2422,15,11110
2423,15,11120
2424,15,11120
2425,15,11120
2426,15,11110
2427,15,11110
2428,15,11120
2429,15,11120
2430,15,11120
2431,15,11120
2432,15,11110
2433,15,11110
2434,15,53000
2435,15,53000
2436,15,11110
2437,15,11110
2438,15,11120
2439,15,11110
2440,15,11110
2441,15,11120
2442,15,11110
2443,15,11110
2444,15,11110
2445,15,11110
2446,15,11110
2447,15,11110
2448,15,11110
2449,15,11110
2450,15,11110
2451,15,11110
2452,15,11110
2453,15,11110
2454,15,11110
2455,15,11110
2456,15,11120
2457,15,11110
2458,15,11110
2459,15,11110
2460,17,11110
2461,17,11110
2462,17,11110
2463,16,11110
2464,16,11110
2465,16,11110
2466,16,11110
2467,17,11110
2468,17,11110
2469,17,11110
2470,17,11110
2471,17,11110
2472,17,11110
2473,16,11110
2474,16,11110
2475,16,11110
2476,17,11110
2477,17,11110
2478,17,11110
2479,17,11110
2480,17,11110
2481,17,11110
2482,16,11110
2483,16,11110
2484,17,11110
2485,16,11110
2486,15,11110
2487,15,11110
2488,16,11110
2489,16,11110
2490,15,11110
2491,15,11110
2492,15,11120
2493,15,11110
2494,15,11110
2495,15,11110
2496,17,11110
2497,17,11110
2498,17,11110
2499,16,11210
2500,16,11210
2501,16,11210
2502,16,11210
2503,17,11210
2504,17,11210
2505,17,11210
2506,17,11210
2507,17,11110
2508,17,11110
2509,16,11110
2510,16,11110
2511,16,11110
2512,17,11110
2513,17,11110
2514,17,11110
2515,17,11110
2516,17,11110
2517,17,11110
2518,17,11110
2519,17,11120
2520,17,11120
2521,16,11120
2522,16,11120
2523,15,11120
2524,16,11110
2525,15,11110
2526,15,11110
2527,15,11110
2528,15,11110
2529,15,11110
2530,15,11110
2531,17,11110
2532,17,11110
2533,17,11110
2534,16,11210
2535,16,11210
2536,16,11210
2537,16,11210
