DATE;DATE;DOY;"Temperature
(oC)";"Relative Humidity
(%)";"Wind Speed
(m/s)";"Solar Radiation Rs
(w/m2)";"Rain";"Wind Direction
(oC)";"Max. Temperature
(oC)";"Max. Relative Humidity
(%)";"Max.  Wind Speed
(m/s)";"Max. Solar Radiation Rs
(w/m2)";"Min. Temperature
(oC)";"Min. Relative Humidity
(%)";"Min.  Wind Speed
(m/s)";"ETo
(mm)"
1/1/2015;Ιαν;1;1.2;23.5;5.7;77.2;0.0;80.1;4.5;32.9;12.1;582.5;-1.4;18.8;1.2;3.7
2/1/2015;Ιαν;2;-0.7;48.2;0.6;111.1;0.0;208.2;5.8;75.2;3.2;498.5;-7.2;25.2;0;0.9
3/1/2015;Ιαν;3;1.4;64.4;0.3;63.6;0.0;201.8;7.8;84.7;1.9;554.2;-2.8;38.5;0;0.6
4/1/2015;Ιαν;4;4.5;72.2;0.5;45.1;0.0;164.5;8.5;87.6;3.6;364.8;-0.3;37.1;0;0.8
5/1/2015;Ιαν;5;3.8;45.2;1.8;103.5;0.0;183.5;8.2;73.9;5;526.4;-1.8;29.6;0;2
6/1/2015;Ιαν;6;0.9;49.7;1.3;91.3;0.0;193.0;5.2;70.8;5.8;570.3;-4.3;31.8;0;1.5
7/1/2015;Ιαν;7;-1.9;56.6;2.6;110.4;0.0;110.3;1.7;73.3;8.8;496.1;-5.5;43.6;0;1.7
8/1/2015;Ιαν;8;-3.9;68.0;0.4;86.2;0.0;112.6;0.7;85.1;2.4;536.6;-7.8;43.1;0;0.6
9/1/2015;Ιαν;9;-1.7;77.8;0.5;90.4;0.0;121.4;5.4;89.7;4.5;490.2;-7;55.1;0;0.7
10/1/2015;Ιαν;10;3.7;75.9;0.4;89.3;0.0;148.2;12;92.2;2.4;574.2;-1.7;49;0;0.8
11/1/2015;Ιαν;11;8.0;83.6;0.9;97.9;0.0;128.1;15.4;100;2.6;506.4;0.5;53.3;0;1.2
12/1/2015;Ιαν;12;5.4;81.9;1.6;24.8;4.8;181.3;9.6;100;4.8;193.4;-0.4;43.3;0;1.5
13/1/2015;Ιαν;13;3.3;67.9;0.6;123.0;0.0;197.3;11.6;88.2;2.9;531.7;-2.4;31.7;0;1
14/1/2015;Ιαν;14;2.9;76.9;0.6;121.4;0.0;199.5;9.9;95.3;2.3;521;-2.8;48.7;0;0.9
15/1/2015;Ιαν;15;3.8;84.0;0.5;117.6;0.0;226.2;11.8;98.4;2.7;515.1;-1.7;53.6;0;0.8
16/1/2015;Ιαν;16;4.7;72.9;0.7;123.8;0.0;208.1;12;96.5;3.7;522;0.2;35.1;0;1.1
17/1/2015;Ιαν;17;4.9;88.2;0.3;104.9;0.0;190.8;11.7;100;2.4;543.5;0.3;69.6;0;0.7
18/1/2015;Ιαν;18;6.3;88.1;0.2;57.0;0.0;261.9;12.8;100;2;398.4;1.2;61.5;0;0.6
19/1/2015;Ιαν;19;10.6;92.7;0.7;65.2;0.0;178.0;15.9;100;3.4;563;6.9;74.3;0;1
20/1/2015;Ιαν;20;11.7;93.2;0.8;84.0;0.0;94.3;17.2;100;2.9;523;7.8;70;0;1.1
21/1/2015;Ιαν;21;10.7;99.9;1.0;13.1;18.6;101.5;11.7;100;2.6;131.3;8.4;98.2;0;1.1
22/1/2015;Ιαν;22;11.3;97.6;1.0;49.2;0.0;107.8;15.4;100;3.7;496.1;7.1;88.6;0;1.2
23/1/2015;Ιαν;23;11.8;87.6;1.9;21.4;7.4;103.0;14.6;100;5.4;115.2;8.2;63.9;0;1.8
24/1/2015;Ιαν;24;10.5;92.6;2.1;68.4;17.0;90.7;12.5;100;6.5;652.8;8.8;77.3;0;1.8
25/1/2015;Ιαν;25;10.4;96.6;1.9;56.4;27.0;64.1;13.6;100;4.7;419.4;8.7;88.6;0;1.6
26/1/2015;Ιαν;26;9.1;88.8;0.8;22.8;2.6;131.7;10.9;98.4;2.5;130.9;7.6;73.6;0;1.1
27/1/2015;Ιαν;27;7.3;87.2;1.7;16.6;12.0;117.3;8.2;100;3;110.8;6;78.5;0.2;1.5
28/1/2015;Ιαν;28;8.1;85.0;0.5;87.5;0.0;140.2;12.5;97.7;2;667.5;6;63.7;0;0.9
29/1/2015;Ιαν;29;6.7;85.8;0.6;56.7;0.0;138.6;9.2;95.7;2;336.4;3.5;69.7;0;0.9
30/1/2015;Ιαν;30;10.2;88.1;1.4;74.4;0.0;192.6;13.5;98;8;579.1;6.7;75.8;0;1.5
31/1/2015;Ιαν;31;11.7;90.3;4.7;17.6;19.6;201.2;15.1;100;12.2;114.3;8.4;74;0;3
1/2/2015;Φεβ;32;14.9;78.7;9.5;92.1;2.0;201.4;18.6;89.4;14.6;655.8;11;56.9;3;5.2
2/2/2015;Φεβ;33;10.7;78.8;3.6;126.2;0.0;220.4;13.8;93.1;9;612.8;5.8;59.2;0;2.9
3/2/2015;Φεβ;34;8.2;71.1;2.6;153.0;0.0;189.6;13.8;92.8;9.2;604;3.9;40;0;2.5
4/2/2015;Φεβ;35;7.5;84.8;0.8;102.6;0.0;207.4;14.4;96.3;4.2;716.8;2.1;67.2;0;1.3
5/2/2015;Φεβ;36;10.7;90.8;1.1;91.0;0.0;172.8;16.8;98.1;4;559.1;4.3;72.7;0;1.5
6/2/2015;Φεβ;37;11.3;88.2;3.3;15.2;28.6;119.1;13.5;100;8.6;80.6;8.8;73.8;0.2;2.5
7/2/2015;Φεβ;38;8.2;75.0;1.5;157.8;0.0;118.8;12.4;87.8;6.6;711.4;5.3;60.9;0;1.8
8/2/2015;Φεβ;39;5.4;85.6;0.7;30.7;0.4;110.2;6.9;97.2;2.6;263.7;4.2;78.4;0;1
9/2/2015;Φεβ;40;4.2;67.7;2.8;91.5;0.0;87.3;6.3;97.4;9;641.6;1.7;51.2;0;2.2
10/2/2015;Φεβ;41;2.0;45.4;4.4;173.6;0.0;54.7;5;60;7.8;647;0.8;33.5;1.7;2.9
11/2/2015;Φεβ;42;1.8;41.1;4.0;175.5;0.0;52.6;5.6;52.8;7;655.8;-0.5;28.4;1.8;2.9
12/2/2015;Φεβ;43;2.9;54.9;1.3;112.5;0.0;178.5;9.8;83;4.7;738.8;-3.2;39.3;0;1.8
13/2/2015;Φεβ;44;4.3;63.7;1.5;173.2;0.0;189.1;10.5;86;6.2;649.4;-2.1;40.1;0;1.8
14/2/2015;Φεβ;45;5.7;58.7;1.1;177.7;0.0;158.4;12.3;81;4.6;658.2;0.4;34.2;0;1.6
15/2/2015;Φεβ;46;6.0;64.9;0.8;172.1;0.0;148.4;11.9;79.1;2.7;649.4;0;43.7;0;1.4
16/2/2015;Φεβ;47;6.2;67.0;2.4;120.4;0.0;102.9;10.5;84.3;8;646.5;0.9;49;0;2.4
17/2/2015;Φεβ;48;1.4;50.6;5.3;146.6;0.0;67.5;5;74.8;10.7;723.6;-3.3;34.2;0;3.1
18/2/2015;Φεβ;49;0.1;35.2;3.2;187.9;0.0;141.3;5.4;54.1;7.2;684.1;-4.7;20.1;0.2;2.7
19/2/2015;Φεβ;50;3.1;38.7;1.2;189.4;0.0;214.9;10.9;62.7;4.4;699.2;-4.6;16.6;0;1.7
20/2/2015;Φεβ;51;5.0;57.2;1.1;137.0;0.0;225.1;11.6;85.9;5.5;795.4;-1.1;37.2;0;1.6
21/2/2015;Φεβ;52;4.7;76.8;0.8;160.7;0.0;206.8;11.1;94.6;3.4;658.7;-0.3;55.7;0;1.3
22/2/2015;Φεβ;53;6.4;89.8;0.5;63.4;8.0;153.6;10.5;100;2.9;671.9;-0.3;69.2;0;1.1
23/2/2015;Φεβ;54;9.9;100.0;3.7;17.1;46.8;76.6;10.6;100;6;84;8.8;100;0.7;2.4
24/2/2015;Φεβ;55;10.7;99.7;1.4;39.9;18.2;70.5;12.3;100;3.6;427.7;9.6;96.9;0;1.7
25/2/2015;Φεβ;56;9.2;99.9;0.4;19.6;29.0;126.5;10.4;100;2.1;230.5;5.1;99;0;1.2
26/2/2015;Φεβ;57;9.5;88.4;0.6;163.6;0.4;190.0;15.8;100;4.4;714.9;3.3;51.7;0;1.3
27/2/2015;Φεβ;58;12.4;80.3;2.0;94.6;9.8;101.0;16.5;100;6.2;669;8.5;63.7;0;2.4
