DATE;DATE;DOY;"Temperature
(oC)";"Relative Humidity
(%)";"Wind Speed
(m/s)";"Solar Radiation Rs
(w/m2)";"Rain";"Wind Direction
(oC)";"Max. Temperature
(oC)";"Max. Relative Humidity
(%)";"Max.  Wind Speed
(m/s)";"Max. Solar Radiation Rs
(w/m2)";"Min. Temperature
(oC)";"Min. Relative Humidity
(%)";"Min.  Wind Speed
(m/s)";Barometric Pressure (AVG) (mbar);Min. Barometric Pressure (AVG) (mbar);Max. Barometric Pressure (AVG) (mbar);"ETo
(mm)"
1/1/2022;Ιαν;1;8;96.5;0;67.2;1.2;139.6;12.9;100;0.5;470.7;5.1;81.9;0;1016.6;1014.8;1019.1;0.3
2/1/2022;Ιαν;2;9.2;90.3;0.1;105.3;0.6;147.1;16.5;100;1.6;480.5;3.8;59.2;0;1020.5;1018.6;1021.9;0.5
3/1/2022;Ιαν;3;7.9;97.5;0.2;105.7;0.2;134.9;13;100;1.9;480;4.9;84.4;0;1014.8;1012;1019.9;0.5
4/1/2022;Ιαν;4;8.3;96.1;0.1;100.1;0.2;157.8;13.5;100;1.8;512.2;4.5;76.6;0;1012.2;1010.7;1014.5;0.5
5/1/2022;Ιαν;5;8.9;94.9;0.3;102.7;0.2;162.4;15.4;100;3.1;467.8;3.5;75;0;1009.1;1007.9;1010.5;0.6
6/1/2022;Ιαν;6;10.4;95.1;0.1;90.6;0.2;202.9;16.1;100;1.2;528.3;6.3;74.9;0;1009.4;1008.2;1011;0.5
7/1/2022;Ιαν;7;9.3;89.8;0.6;21.8;0.2;120.6;12.3;100;1.6;110.4;7.4;74.2;0;1013;1010.7;1015;0.8
8/1/2022;Ιαν;8;9.2;86.5;0.3;16.3;0;35;10.4;95.6;1;146;7.8;80.5;0;1010.6;1006.6;1014.3;0.5
9/1/2022;Ιαν;9;9.2;99.3;0;17.2;0.2;85.4;10.4;100;0.5;112.8;8.3;93;0;1002.2;998;1006.4;0.3
10/1/2022;Ιαν;10;9.4;93.6;1.5;16.1;0.2;73.9;11.2;100;4.3;99.6;7;80.6;0;998.4;996.2;1001.6;1.3
11/1/2022;Ιαν;11;6.8;76.7;3.6;17;0.2;59.2;11.5;82.5;6.3;117.7;3.5;69.7;0.9;1006.5;1001.6;1012;2.5
12/1/2022;Ιαν;12;2.2;60.7;3.1;59.3;0;77.2;4.5;71.3;5.8;455.6;-0.7;51.9;0.5;1019.9;1012;1027.5;2.1
13/1/2022;Ιαν;13;0.2;61.1;1;120.9;9.2;134.3;5.3;85;4.1;533.2;-2.8;40.1;0;1029.2;1027.5;1030.8;1.1
14/1/2022;Ιαν;14;0.3;83.5;0.1;116;0;183.7;6.5;96.3;1.6;517.6;-4.5;58;0;1021.1;1013.8;1028;0.4
15/1/2022;Ιαν;15;3.8;79.4;0.4;97.5;0;156.2;11.2;98.4;2.9;632.3;-2;48.1;0;1017;1012.7;1021.6;0.8
16/1/2022;Ιαν;16;2.8;74.6;0.2;118.6;0;130.6;8.7;91.8;1.5;529.8;-2.1;47.5;0;1023.9;1020.9;1026.2;0.6
17/1/2022;Ιαν;17;3.8;82.2;0.6;118.4;0;179.7;10.5;94.2;4.6;524.9;-1.2;55.6;0;1017.4;1013;1023.2;0.9
18/1/2022;Ιαν;18;6;53.3;0.8;125.6;0;150.6;11.1;92.3;3.6;558.1;0.6;23.9;0;1019.5;1013.3;1025.5;1.2
19/1/2022;Ιαν;19;2.5;56;0.8;126.4;0;192.8;7.6;79.8;3.1;552.7;-2.4;35.3;0;1027.4;1025.5;1030;1.2
20/1/2022;Ιαν;20;3;69.3;0.9;126.7;0;213.8;10.1;88.8;4.3;548.8;-2.5;43.4;0;1019.9;1016.3;1025.7;1.2
21/1/2022;Ιαν;21;2.6;80.2;0.5;35.5;2.8;128;7.9;100;2;220.2;-0.8;62.1;0;1014.1;1012;1016.8;0.8
22/1/2022;Ιαν;22;1;72.8;0.3;122.4;1.2;186.9;5.5;100;1.9;639.2;-2.6;35.3;0;1014.8;1012;1016.6;0.7
23/1/2022;Ιαν;23;0.9;59.5;0.8;110;0;143.4;5.1;83;2.9;648;-3.8;37.8;0;1018.5;1016;1019.9;1.1
24/1/2022;Ιαν;24;0;52.3;2.2;108.1;0;66.2;2.9;74;3.9;630.9;-1.7;39;0;1023.7;1019.9;1026.7;1.8
25/1/2022;Ιαν;25;-0.6;47.7;0.9;135;0;155.5;3.7;70.2;2.7;565.4;-4.6;32.9;0;1024.8;1022.2;1027.2;1.1
26/1/2022;Ιαν;26;-1.2;63;0.1;100.6;0;135.5;5.2;79.4;1.2;648;-7.3;36.5;0;1021.5;1019.4;1023.4;0.5
27/1/2022;Ιαν;27;1.5;64.1;0.1;73;0;255.4;7;79.5;1.5;328.1;-4.5;43.8;0;1021.8;1020.9;1023.2;0.6
28/1/2022;Ιαν;28;2.7;69.3;0.5;141.2;0;185.6;9.4;87.7;2.9;572.8;-2.6;47.5;0;1017.8;1015.3;1021.1;0.9
29/1/2022;Ιαν;29;4.7;70;0.3;80.8;0;90.2;10;88.9;2.8;470.7;0.7;43.9;0;1018.8;1016.8;1020.1;0.8
30/1/2022;Ιαν;30;4.1;64.5;0.8;110.7;0;183.2;9.2;75.9;4.3;753.9;-1.2;47.4;0;1014.1;1010.2;1019.6;1.2
31/1/2022;Ιαν;31;5.4;60.2;0.8;139.6;0;153.5;12.2;80.7;3.5;687.5;0.8;26.5;0;1009.2;1005.6;1012;1.2
1/2/2022;Φεβ;32;5.4;86.4;1;16.9;9.6;54.4;8.1;100;2.4;109.4;1.3;71;0;1001.7;1000;1005.1;1.2
2/2/2022;Φεβ;33;4.4;89.6;1.5;15.5;6.4;91.2;5.5;96.3;2.4;127;3.5;71.9;0.3;1001.8;1000.3;1003.8;1.3
3/2/2022;Φεβ;34;5.7;75.2;0.6;105.7;8;170.2;11.1;95.2;2.9;773;1.4;47.3;0;1010.3;1003.6;1017.6;1.1
4/2/2022;Φεβ;35;3.8;75;0.4;149.2;3.6;122.7;8.8;92.9;2.7;616.2;-1.2;49.6;0;1018.7;1017.3;1020.1;0.9
5/2/2022;Φεβ;36;5;82.8;0.7;153.3;0;151;11.8;95.4;4.3;601.6;-0.3;57.6;0;1016.6;1014.5;1018.3;1.1
6/2/2022;Φεβ;37;6.6;87.5;0.5;136.2;0;151.5;12.6;98.5;2.3;616.7;1.5;70.7;0;1019.6;1017.6;1021.9;1
7/2/2022;Φεβ;38;8.7;92.6;0.8;79.9;4.4;155.4;13.4;100;4.4;717.8;4;78.2;0;1007.3;1000.3;1017.6;1.2
8/2/2022;Φεβ;39;7.3;62.3;1.4;37.6;0;144.3;9;100;4;165.5;4.8;42.5;0;1007.9;999.5;1018.3;1.7
9/2/2022;Φεβ;40;5.9;62.7;0.2;109.3;0;155.4;10.4;83.3;1.2;770.5;0.2;42.7;0;1021.3;1018.3;1024.7;0.8
10/2/2022;Φεβ;41;6.6;77.8;0.4;167.8;0;189.5;12.8;96.5;2.3;644.1;0.2;52;0;1024.9;1023.9;1026.2;1
11/2/2022;Φεβ;42;6.5;89.2;0.4;169.2;0;165.7;13.7;100;2.2;642.6;0.6;66.2;0;1021;1019.1;1024.2;1
12/2/2022;Φεβ;43;8.3;89.4;0.6;147.1;0;97.3;15.5;100;3.7;623.5;1.9;59.3;0;1023;1020.1;1026.7;1.2
13/2/2022;Φεβ;44;7.6;61.4;2;150.7;0;93.8;11.6;72;4.7;596.2;4;46;0;1025.5;1022.9;1027.7;2.3
14/2/2022;Φεβ;45;6;75;0.3;137.8;0;119.9;10.3;85.9;2.3;642.6;1.5;53.5;0;1022;1020.4;1023.7;0.9
15/2/2022;Φεβ;46;7.6;83.8;0.6;156.6;0;150.5;13.4;97.5;4.1;663.6;1.5;62;0;1020.4;1018.8;1021.6;1.2
16/2/2022;Φεβ;47;8.9;90.9;0.1;69.3;0;126.9;13.4;100;1.3;363.8;3.7;73.5;0;1016.8;1013;1020.1;0.9
17/2/2022;Φεβ;48;11.1;90.3;1;124.1;0;138.2;15.9;100;4.5;623.5;8.1;69.3;0;1008.8;1005.4;1013;1.5
18/2/2022;Φεβ;49;11.7;60.6;1.2;188.2;0;131.2;19.6;100;6.9;704.6;5;13.3;0;1009.5;1004.9;1016.3;1.7
19/2/2022;Φεβ;50;8.4;68.8;0.8;183.8;0;179.9;15.3;95;3.1;690.4;2.4;46.3;0;1017.3;1016.3;1018.6;1.5
20/2/2022;Φεβ;51;9.1;89.8;0.2;79.9;0;165.9;14.7;100;1.4;371.6;3.8;75.7;0;1014.7;1012.5;1017.3;1.1
21/2/2022;Φεβ;52;9.7;94;0.3;104.6;0;190.5;15.6;100;2.3;894.5;5.1;73.3;0;1009.7;1004.9;1014;1.1
22/2/2022;Φεβ;53;11.6;94.7;0.4;68.1;2.8;146;15.9;100;3.3;576.2;8;78.8;0;1002.2;1000.5;1006.4;1.2
23/2/2022;Φεβ;54;11;73.5;1.7;90;5.6;94.8;14.7;87.6;3.7;563;9;55.3;0;1012.6;1006.9;1016.8;2.2
24/2/2022;Φεβ;55;9;63;1.3;181.7;0;112.3;12.6;94.2;5.2;938;6;46.5;0;1016.8;1015.8;1018.1;1.9
25/2/2022;Φεβ;56;7;58.5;0.8;206.4;0;201.2;12.5;80.1;3.6;747.6;0.9;35.9;0;1015.9;1013.8;1017.3;1.4
26/2/2022;Φεβ;57;7;72.2;0.4;197.8;0;224;13.8;86.8;2.4;751;0.6;49.7;0;1017.4;1016;1019.6;1.2
27/2/2022;Φεβ;58;6.3;77.8;3.2;23.3;14.2;60.5;8.1;97;6;127.4;4.6;63.7;0;1016;1012.7;1019.6;2.4
28/2/2022;Φεβ;59;5.7;70.3;1.1;68.3;8.2;83.3;8.1;85.6;3.2;407.7;3.4;59.4;0;1016.6;1013.8;1020.6;1.5
1/3/2022;Μαρ;60;4.6;61;2;175.6;0;64.2;8.1;76.2;6.6;817.4;1.4;50.8;0.1;1020;1018.1;1021.1;2.1
2/3/2022;Μαρ;61;4;69.7;0.5;168.7;0;150.8;9.2;91.9;3.3;756.8;-2;42.8;0;1015;1011.5;1020.1;1
3/3/2022;Μαρ;62;5;72.4;0.5;145.5;0;153.9;10;93.3;2.2;896.5;-1.3;42.4;0;1011.6;1010.7;1012.7;1
4/3/2022;Μαρ;63;7.1;76.3;0.7;191.4;0;115.9;11.9;90.3;2.9;912.1;3.3;58.7;0;1011.4;1010.2;1012.5;1.4
5/3/2022;Μαρ;64;7.3;82.2;1.6;77.3;2.2;59.5;10.2;98.5;3.7;649.4;4.4;66.4;0;1011.9;1011;1013.3;1.8
6/3/2022;Μαρ;65;5.2;89.6;2;25.2;13;51.6;6.5;94.9;4;127.9;4.7;78.6;0.3;1010.6;1009.7;1011.7;1.8
7/3/2022;Μαρ;66;6.3;76.3;0.7;148.8;1.2;102.7;10.3;92.2;2.3;866.2;2.3;60.3;0;1010.5;1009.2;1011.5;1.4
8/3/2022;Μαρ;67;6;73.2;1.3;170.7;0.6;56;9.3;93;5;774.9;3.3;55;0;1011.1;1009.9;1012.7;1.7
9/3/2022;Μαρ;68;4.8;59.4;2.7;176.8;0;59.2;8.1;75.7;5.4;882.3;2.4;45;0;1013;1011.7;1015.5;2.4
10/3/2022;Μαρ;69;2.5;52.5;2.5;205.9;0;67.5;6.7;71.4;5.8;933.6;-0.5;35.9;0.5;1017.7;1015.5;1022.4;2.3
11/3/2022;Μαρ;70;1.1;54.7;1.2;161.2;0;114.5;4.8;69.5;3.5;965.8;-2.4;37.4;0;1023.2;1022.4;1025.2;1.4
12/3/2022;Μαρ;71;1.2;54.3;1.4;164.9;0;113.8;5.4;69.4;5.3;949.7;-1.9;35.3;0;1025.6;1024.7;1027.2;1.5
13/3/2022;Μαρ;72;1.9;61.2;0.6;181.1;0;148.4;8;79;3;850.6;-5.2;35.9;0;1026.2;1024.4;1027.5;1
14/3/2022;Μαρ;73;4.7;58.4;1;200.6;0;138.5;10.4;84.1;4.1;855.5;-1.3;34;0;1030.8;1027.7;1034.4;1.4
15/3/2022;Μαρ;74;4.8;72.4;0.7;233.4;0;160.2;11.3;90.5;3.1;811.5;-3;48.5;0;1031.8;1028.3;1034.4;1.3
16/3/2022;Μαρ;75;6.7;86.3;0.6;93.2;0;144.4;12.2;95.6;3.8;482.4;2.6;64.6;0;1022.4;1019.1;1028.3;1.4
17/3/2022;Μαρ;76;7.4;73.5;2.8;88.9;0;73.5;10.2;96.1;6.6;861.3;4.4;57.8;0;1024.6;1019.6;1031.3;2.5
18/3/2022;Μαρ;77;4.9;43.4;4;220.1;0;66.4;8.6;65.9;7.3;839.9;1.3;26.6;0.4;1033.7;1031.6;1036.1;3.3
19/3/2022;Μαρ;78;3.4;46.6;2.6;261.6;0;73.8;8.1;65.6;6;916;-1.9;30.9;0;1035.2;1033.1;1036.7;2.5
20/3/2022;Μαρ;79;6;31.6;3;250.2;0;60.9;10.8;48.6;5.8;837.9;0.5;21.5;0;1033.1;1030;1036.1;3.3
21/3/2022;Μαρ;80;7;34.2;3.4;252.3;0;80.2;11.5;55.3;7.7;838.4;0.1;24.1;0;1028.4;1026;1031.8;3.6
22/3/2022;Μαρ;81;11.6;36.3;3.6;193.5;0;61.5;17.1;59.2;8.3;1014.7;6.6;27.6;0.2;1021.9;1017.8;1026.2;4.5
23/3/2022;Μαρ;82;10.6;40;2.6;264.2;0;89.1;15.7;72.1;7.3;842.8;3.8;19.7;0;1021.5;1019.4;1023.2;3.3
24/3/2022;Μαρ;83;8.8;67.7;0.9;249.8;0;148.4;17.9;95;2.8;819.8;0.5;31.7;0;1018.3;1015.8;1021.4;1.5
25/3/2022;Μαρ;84;9.8;68.9;0.9;247.3;0;104.3;17.5;94.7;4;815.9;1;32.7;0;1015.9;1014.3;1020.9;1.5
26/3/2022;Μαρ;85;9.6;58.8;0.9;250;0;147.7;15.1;88;3.4;815.4;3.3;40.2;0;1024.3;1020.9;1026.5;1.6
27/3/2022;Μαρ;86;10.1;76.3;0.6;262.9;0;199.3;17.2;97.3;2.8;816.9;2.1;52.8;0;1023.9;1022.2;1025;1.5
28/3/2022;Μαρ;87;10.6;88.1;0.5;148.3;0;123.5;16.4;99.3;2.6;557.6;4.2;71.7;0;1023.2;1019.4;1025.7;1.5
29/3/2022;Μαρ;88;10.9;90.4;0.9;217.4;0;207.5;17.9;100;3;809.6;4.9;53.7;0;1014.4;1010.7;1019.4;1.5
30/3/2022;Μαρ;89;11.6;90.6;0.5;193;0;160.2;17.4;100;2.8;829.1;6.5;64.1;0;1009.7;1008.2;1011.5;1.5
