DATE;DATE;DOY;"Temperature
(oC)";"Relative Humidity
(%)";"Wind Speed
(m/s)";"Solar Radiation Rs
(w/m2)";"Rain";"Wind Direction
(oC)";"Max. Temperature
(oC)";"Max. Relative Humidity
(%)";"Max.  Wind Speed
(m/s)";"Max. Solar Radiation Rs
(w/m2)";"Min. Temperature
(oC)";"Min. Relative Humidity
(%)";"Min.  Wind Speed
(m/s)";Barometric Pressure (AVG) (mbar);Min. Barometric Pressure (AVG) (mbar);Max. Barometric Pressure (AVG) (mbar)
1/1/2025;Ιαν;1;13.08;100;0.83;468.8;0;47.6;13.08;100;0.83;468.8;0.97;72.9;0;1028.8;1025.5;1028.8
2/1/2025;Ιαν;2;12.61;100;3.86;495.6;0;191.2;12.61;100;3.86;495.6;0.94;77.7;0;1025.5;1018.8;1025.5
3/1/2025;Ιαν;3;13.32;100;5.61;492.7;0.2;220.2;13.32;100;5.61;492.7;3.8;70.1;0;1018.6;1011.7;1018.6
4/1/2025;Ιαν;4;14.62;98.7;2.71;475.1;0;219.5;14.62;98.7;2.71;475.1;5.87;46.9;0;1019.4;1010.5;1019.4
5/1/2025;Ιαν;5;10.22;93.2;1.28;524.4;0;109.4;10.22;93.2;1.28;524.4;2.87;48.7;0;1019.6;1016.6;1019.6
6/1/2025;Ιαν;6;11.91;100;1.18;228;0;109.5;11.91;100;1.18;228;3.34;75.2;0;1018.3;1015.3;1018.3
7/1/2025;Ιαν;7;14.05;100;1.46;373.5;0;109.5;14.05;100;1.46;373.5;2.9;75.3;0;1017.3;1014.8;1017.3
8/1/2025;Ιαν;8;14.13;100;2.65;443.4;0;139.7;14.13;100;2.65;443.4;4.92;85.5;0;1017.8;1015.5;1017.8
9/1/2025;Ιαν;9;14.42;100;3.11;250;0;139.8;14.42;100;3.11;250;5.95;81.2;0;1017.3;1012.7;1017.3
10/1/2025;Ιαν;10;14;100;3.11;547.4;0;139.8;14;100;3.11;547.4;6.07;78.2;0;1012.7;1008.7;1012.7
11/1/2025;Ιαν;11;13.52;100;2.2;298.8;0;139.8;13.52;100;2.2;298.8;6.36;76.1;0;1013;1008.4;1013
12/1/2025;Ιαν;12;7.39;92.3;2.53;53.7;11.2;139.8;7.39;92.3;2.53;53.7;3.41;76.6;0.36;1018.3;1005.4;1018.3
13/1/2025;Ιαν;13;3.99;92.8;4.11;67.4;2;66.2;3.99;92.8;4.11;67.4;2.04;68.9;1.35;1026.5;1016;1026.5
14/1/2025;Ιαν;14;5;72.2;3.82;270;0;77.6;5;72.2;3.82;270;3.16;60.7;1.82;1027.5;1022.9;1027.5
15/1/2025;Ιαν;15;6.49;96.4;2.35;256.4;2.8;36.7;6.49;96.4;2.35;256.4;1.94;71.8;0;1029.3;1018.1;1029.3
16/1/2025;Ιαν;16;9.66;96.4;1.94;606;0;36.7;9.66;96.4;1.94;606;1.11;60.5;0;1034.1;1023.2;1034.1
